DevType,Top_LanguageHaveWorkedWith,Top_DatabaseHaveWorkedWith,Top_PlatformHaveWorkedWith,Top_WebframeHaveWorkedWith,MedianWorkExp,MedianComp
"Developer, mobile","Kotlin, Swift, JavaScript, Java, HTML/CSS","SQLite, PostgreSQL, MySQL, Cloud Firestore, Firebase Realtime Database","Firebase, Homebrew, Gradle, Docker, npm","React, Node.js, Next.js, Express, jQuery",10.0,69609.0
"Developer, back-end","SQL, JavaScript, Python, Bash/Shell (all shells), HTML/CSS","PostgreSQL, Redis, MySQL, SQLite, Microsoft SQL Server","Docker, Amazon Web Services (AWS), npm, Kubernetes, Pip","Node.js, React, Spring Boot, ASP.NET Core, FastAPI",10.0,78890.0
"Developer, front-end","JavaScript, HTML/CSS, TypeScript, Bash/Shell (all shells), SQL","PostgreSQL, MySQL, MongoDB, SQLite, MariaDB","npm, Docker, Vite, Webpack, Yarn","React, Node.js, Next.js, Express, Angular",8.0,63808.0
Engineering manager,"JavaScript, SQL, HTML/CSS, Python, TypeScript","PostgreSQL, Redis, MySQL, SQLite, Elasticsearch","Docker, npm, Amazon Web Services (AWS), Pip, Kubernetes","React, Node.js, Next.js, jQuery, Express",16.0,135000.0
"Developer, full-stack","JavaScript, HTML/CSS, SQL, TypeScript, Python","PostgreSQL, MySQL, SQLite, Microsoft SQL Server, Redis","Docker, npm, Amazon Web Services (AWS), Vite, Pip","Node.js, React, jQuery, ASP.NET Core, Next.js",10.0,72000.0
"Architect, software or solutions","JavaScript, SQL, HTML/CSS, Python, TypeScript","PostgreSQL, Microsoft SQL Server, SQLite, MySQL, Redis","Docker, npm, Amazon Web Services (AWS), Pip, Microsoft Azure","Node.js, React, ASP.NET Core, Angular, jQuery",19.0,100000.0
Data engineer,"Python, SQL, Bash/Shell (all shells), JavaScript, HTML/CSS","PostgreSQL, Microsoft SQL Server, MySQL, SQLite, BigQuery","Docker, Pip, Amazon Web Services (AWS), Microsoft Azure, Terraform","FastAPI, Flask, React, Node.js, Django",10.0,81210.0
"Developer, embedded applications or devices","C, Python, C++, Bash/Shell (all shells), JavaScript","SQLite, PostgreSQL, MySQL, MariaDB, Microsoft SQL Server","Docker, Make, Pip, Ninja, APT","Node.js, React, Flask, Vue.js, jQuery",10.0,81210.0
"Developer, game or graphics","C++, C#, Python, JavaScript, HTML/CSS","SQLite, PostgreSQL, MySQL, MongoDB, MariaDB","Docker, npm, Pip, NuGet, Make","Node.js, React, Vue.js, jQuery, Svelte",10.0,70794.0
AI/ML engineer,"Python, SQL, Bash/Shell (all shells), JavaScript, HTML/CSS","PostgreSQL, SQLite, MySQL, Redis, MongoDB","Docker, Pip, Amazon Web Services (AWS), npm, Google Cloud","FastAPI, React, Node.js, Flask, Next.js",7.5,90500.0
